,Accuracy,Dataset File,F1,Precision,Recall,Time,alpha,fn,fp,k,mode,threshold_frecuency_high,threshold_frecuency_low,tn,tp
0,0.5944,../data/train_test_sample_1000.csv,0.5125,0.422011,0.652387,9.78971,50.0,730.0,284.0,15.0,1.0,0.99,0.05,953.0,533.0
1,0.6156,../data/train_test_sample_2000.csv,0.549883,0.46885,0.664779,11.289,50.0,665.0,296.0,15.0,1.0,0.99,0.05,952.0,587.0
2,0.6344,../data/train_test_sample_3000.csv,0.57919,0.505627,0.677802,13.2235,50.0,615.0,299.0,15.0,1.0,0.99,0.05,957.0,629.0
3,0.6344,../data/train_test_sample_4000.csv,0.591234,0.546281,0.64425,15.1268,50.0,549.0,365.0,15.0,1.0,0.99,0.05,925.0,661.0
4,0.6232,../data/train_test_sample_5000.csv,0.590791,0.544872,0.645161,16.5521,50.0,568.0,374.0,15.0,1.0,0.99,0.05,878.0,680.0
5,0.6364,../data/train_test_sample_6000.csv,0.60323,0.541536,0.680788,18.1901,50.0,585.0,324.0,15.0,1.0,0.99,0.05,900.0,691.0
6,0.6548,../data/train_test_sample_7000.csv,0.636019,0.58314,0.699443,19.4085,50.0,539.0,324.0,15.0,1.0,0.99,0.05,883.0,754.0
7,0.634,../data/train_test_sample_8000.csv,0.606113,0.583264,0.630824,20.7922,50.0,503.0,412.0,15.0,1.0,0.99,0.05,881.0,704.0
8,0.6444,../data/train_test_sample_9000.csv,0.617634,0.582792,0.656908,21.7368,50.0,514.0,375.0,15.0,1.0,0.99,0.05,893.0,718.0
9,0.6272,../data/train_test_sample_10000.csv,0.60205,0.555118,0.657649,22.8624,50.0,565.0,367.0,15.0,1.0,0.99,0.05,863.0,705.0
10,0.6424,../data/train_test_sample_11000.csv,0.624685,0.599034,0.652632,24.1307,50.0,498.0,396.0,15.0,1.0,0.99,0.05,862.0,744.0
11,0.664,../data/train_test_sample_12000.csv,0.640411,0.604689,0.680619,25.1365,50.0,489.0,351.0,15.0,1.0,0.99,0.05,912.0,748.0
12,0.6508,../data/train_test_sample_13000.csv,0.631801,0.605497,0.660494,26.4752,50.0,488.0,385.0,15.0,1.0,0.99,0.05,878.0,749.0
13,0.6584,../data/train_test_sample_14000.csv,0.637829,0.59306,0.689908,27.3906,50.0,516.0,338.0,15.0,1.0,0.99,0.05,894.0,752.0
14,0.642,../data/train_test_sample_15000.csv,0.620923,0.581746,0.665758,28.1974,50.0,527.0,368.0,15.0,1.0,0.99,0.05,872.0,733.0
15,0.6432,../data/train_test_sample_16000.csv,0.630489,0.610265,0.652099,29.4243,50.0,486.0,406.0,15.0,1.0,0.99,0.05,847.0,761.0
16,0.632,../data/train_test_sample_17000.csv,0.607173,0.560726,0.662011,30.1405,50.0,557.0,363.0,15.0,1.0,0.99,0.05,869.0,711.0
17,0.6504,../data/train_test_sample_18000.csv,0.624248,0.576648,0.680412,30.841,50.0,533.0,341.0,15.0,1.0,0.99,0.05,900.0,726.0
18,0.6412,../data/train_test_sample_19000.csv,0.614856,0.573259,0.662963,29.538,50.0,533.0,364.0,15.0,1.0,0.99,0.05,887.0,716.0
19,0.664,../data/train_test_sample_20000.csv,0.652318,0.609435,0.701692,30.3188,50.0,505.0,335.0,15.0,1.0,0.99,0.05,872.0,788.0
20,0.6572,../data/train_test_sample_21000.csv,0.638549,0.598419,0.684448,31.3486,50.0,508.0,349.0,15.0,1.0,0.99,0.05,886.0,757.0
21,0.6408,../data/train_test_sample_22000.csv,0.627695,0.593725,0.665787,32.1401,50.0,518.0,380.0,15.0,1.0,0.99,0.05,845.0,757.0
22,0.6624,../data/train_test_sample_23000.csv,0.632724,0.595902,0.674397,32.7993,50.0,493.0,351.0,15.0,1.0,0.99,0.05,929.0,727.0
23,0.656,../data/train_test_sample_24000.csv,0.632792,0.599515,0.669982,32.8598,50.0,495.0,365.0,15.0,1.0,0.99,0.05,899.0,741.0
24,0.6764,../data/train_test_sample_25000.csv,0.661931,0.624606,0.704,33.0807,50.0,476.0,333.0,15.0,1.0,0.99,0.05,899.0,792.0
