,Accuracy,Dataset File,F1,Precision,Recall,Time,alpha,fn,fp,k,mode,threshold_frecuency_high,threshold_frecuency_low,tn,tp
0,0.5848,../data/train_test_sample_1000.csv,0.495136,0.403009,0.641866,1.63204,0.0,754.0,284.0,15.0,0.0,0.99,0.05,953.0,509.0
1,0.6052,../data/train_test_sample_2000.csv,0.511144,0.412141,0.672751,3.87094,0.0,736.0,251.0,15.0,0.0,0.99,0.05,997.0,516.0
2,0.6396,../data/train_test_sample_3000.csv,0.583063,0.506431,0.687023,6.20983,0.0,614.0,287.0,15.0,0.0,0.99,0.05,969.0,630.0
3,0.6356,../data/train_test_sample_4000.csv,0.574895,0.509091,0.660236,8.40499,0.0,594.0,317.0,15.0,0.0,0.99,0.05,973.0,616.0
4,0.6312,../data/train_test_sample_5000.csv,0.588393,0.528045,0.664315,10.6727,0.0,589.0,333.0,15.0,0.0,0.99,0.05,919.0,659.0
5,0.6112,../data/train_test_sample_6000.csv,0.586383,0.539969,0.641527,12.7648,0.0,587.0,385.0,15.0,0.0,0.99,0.05,839.0,689.0
6,0.648,../data/train_test_sample_7000.csv,0.626486,0.570766,0.694262,14.9122,0.0,555.0,325.0,15.0,0.0,0.99,0.05,882.0,738.0
7,0.644,../data/train_test_sample_8000.csv,0.607237,0.570008,0.649669,17.2733,0.0,519.0,371.0,15.0,0.0,0.99,0.05,922.0,688.0
8,0.6412,../data/train_test_sample_9000.csv,0.624529,0.605519,0.644771,19.3317,0.0,486.0,411.0,15.0,0.0,0.99,0.05,857.0,746.0
9,0.6296,../data/train_test_sample_10000.csv,0.603935,0.555906,0.661049,21.3494,0.0,564.0,362.0,15.0,0.0,0.99,0.05,868.0,706.0
10,0.6456,../data/train_test_sample_11000.csv,0.613775,0.566828,0.669202,23.3092,0.0,538.0,348.0,15.0,0.0,0.99,0.05,910.0,704.0
11,0.6464,../data/train_test_sample_12000.csv,0.612281,0.564268,0.669223,24.9517,0.0,539.0,345.0,15.0,0.0,0.99,0.05,918.0,698.0
12,0.6432,../data/train_test_sample_13000.csv,0.620102,0.588521,0.655266,26.8784,0.0,509.0,383.0,15.0,0.0,0.99,0.05,880.0,728.0
13,0.6636,../data/train_test_sample_14000.csv,0.639211,0.587539,0.700847,28.5484,0.0,523.0,318.0,15.0,0.0,0.99,0.05,914.0,745.0
14,0.6452,../data/train_test_sample_15000.csv,0.616515,0.565873,0.677113,30.3325,0.0,547.0,340.0,15.0,0.0,0.99,0.05,900.0,713.0
15,0.638,../data/train_test_sample_16000.csv,0.613083,0.57498,0.656593,31.6559,0.0,530.0,375.0,15.0,0.0,0.99,0.05,878.0,717.0
16,0.6256,../data/train_test_sample_17000.csv,0.586207,0.522871,0.667002,33.8225,0.0,605.0,331.0,15.0,0.0,0.99,0.05,901.0,663.0
17,0.6572,../data/train_test_sample_18000.csv,0.616898,0.548054,0.705521,35.253,0.0,569.0,288.0,15.0,0.0,0.99,0.05,953.0,690.0
18,0.6524,../data/train_test_sample_19000.csv,0.614292,0.554043,0.689243,35.7384,0.0,557.0,312.0,15.0,0.0,0.99,0.05,939.0,692.0
19,0.6636,../data/train_test_sample_20000.csv,0.640752,0.580046,0.715649,36.4959,0.0,543.0,298.0,15.0,0.0,0.99,0.05,909.0,750.0
20,0.6396,../data/train_test_sample_21000.csv,0.60809,0.552569,0.676015,37.0279,0.0,566.0,335.0,15.0,0.0,0.99,0.05,900.0,699.0
21,0.6476,../data/train_test_sample_22000.csv,0.615452,0.552941,0.693898,37.5814,0.0,570.0,311.0,15.0,0.0,0.99,0.05,914.0,705.0
22,0.6516,../data/train_test_sample_23000.csv,0.609242,0.556557,0.672944,38.2205,0.0,541.0,330.0,15.0,0.0,0.99,0.05,950.0,679.0
23,0.6596,../data/train_test_sample_24000.csv,0.624614,0.572816,0.686712,38.5459,0.0,528.0,323.0,15.0,0.0,0.99,0.05,941.0,708.0
24,0.6664,../data/train_test_sample_25000.csv,0.640827,0.586751,0.705882,39.3496,0.0,524.0,310.0,15.0,0.0,0.99,0.05,922.0,744.0
